gene_id	gene_name	d15_Tcm_REP1	d15_Tcm_REP2	d15_Tcm_REP3	d15_Tem_REP1	d15_Tem_REP3	d15_Tpm_REP1	d15_Tpm_REP2	d15_Tpm_REP3	d8_Tcm_REP1	d8_Tcm_REP2	d8_Tcm_REP3	d8_Tem_REP1	d8_Tem_REP2	d8_Tem_REP3	d8_Tpm_REP1	d8_Tpm_REP2	d8_Tpm_REP3	Naive_REP1	Naive_REP2
ENSMUSG00000000001	Gnai3	3874	3631	3730	4656	4119	3038	3269	2774	4252	3856	3633	5150	5087	4672	4351	4140	4312	3387	4387
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	56	71	82	89	79	61	84	78	415	371	228	175	182	184	419	291	236	62	58
ENSMUSG00000000031	H19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0
ENSMUSG00000000037	Scml2	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	9	1
ENSMUSG00000000049	Apoh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000056	Narf	759	665	703	671	658	572	681	584	1132	1134	1048	1038	1112	1028	1189	981	1036	821	842
ENSMUSG00000000058	Cav2	23	5	10	5	10	16	9	7	15	24	2	12	7	1	13	4	4	8	8
ENSMUSG00000000078	Klf6	29917	28220	33113	25046	25135	22779	27549	28242	7535	11705	11768	5532	9573	9892	6897	9728	10962	3748	8470
ENSMUSG00000000085	Scmh1	44	48	41	21	30	29	25.001	23	33	36	30	14	29	51	37	17	25	233.999	194.002
ENSMUSG00000000088	Cox5a	1677	1454	1475	1414	1264	1304	1340	1316	2157	1713	2242	2048	1997	1542	1992	2240	1967	1486.998	1173
ENSMUSG00000000093	Tbx2	6	1	3	5	4	3	7	8	2	2	6	0	3	1	2	2	8	12	8
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	1	1	7	8	0	0	0	3	2	0	12	5	12	0	0	0	1	5
ENSMUSG00000000125	Wnt3	0	0	0	0	0	1	0	0	2	4	3	0	0	1	0	2	0	0	0
ENSMUSG00000000126	Wnt9a	0	0	0	2	7	0	0	0	2	1	0	9	3	0	3	0	1	0	0
ENSMUSG00000000127	Fer	0	11	7	3	10	10	7	13	7	0	5	3	7	6	2	10	5	19	7
