gs_name,gene_symbol,EnsemblID
Tcm_only,Rmnd5b,ENSMUSG00000001054
Tcm_only,Naa20,ENSMUSG00000002728
Tcm_only,Baz1b,ENSMUSG00000002748
Tcm_only,Eif2b5,ENSMUSG00000003235
Tcm_only,Sult2b1,ENSMUSG00000003271
Tcm_only,Mob3a,ENSMUSG00000003348
Tcm_only,Ncstn,ENSMUSG00000003458
Tcm_only,Ddr1,ENSMUSG00000003534
Tcm_only,Syce2,ENSMUSG00000003824
Tcm_only,Prkaca,ENSMUSG00000005469
Tcm_only,Crip2,ENSMUSG00000006356
Tcm_only,Ptbp1,ENSMUSG00000006498
Tcm_only,B4galnt1,ENSMUSG00000006731
Tcm_only,Vwa7,ENSMUSG00000007030
Tcm_only,Abhd16a,ENSMUSG00000007036
Tcm_only,Hipk1,ENSMUSG00000008730
Tcm_only,Ttll5,ENSMUSG00000012609
Tcm_only,Gtf3a,ENSMUSG00000016503
Tcm_only,Tox4,ENSMUSG00000016831
Tcm_only,Med24,ENSMUSG00000017210
Tcm_only,Ttpal,ENSMUSG00000017679
Tcm_only,Mafk,ENSMUSG00000018143
Tcm_only,Mfng,ENSMUSG00000018169
Tcm_only,Slc25a39,ENSMUSG00000018677
Tcm_only,Tmem129,ENSMUSG00000019295
Tcm_only,Xab2,ENSMUSG00000019470
Tcm_only,Traf3ip2,ENSMUSG00000019842
Tcm_only,Cfap54,ENSMUSG00000020014
Tcm_only,Cabin1,ENSMUSG00000020196
Tcm_only,Phykpl,ENSMUSG00000020359
Tcm_only,Acaca,ENSMUSG00000020532
Tcm_only,Slc25a19,ENSMUSG00000020744
Tcm_only,Esyt2,ENSMUSG00000021171
Tcm_only,Fdft1,ENSMUSG00000021273
Tcm_only,Tbc1d7,ENSMUSG00000021368
Tcm_only,Smn1,ENSMUSG00000021645
Tcm_only,Cab39l,ENSMUSG00000021981
Tcm_only,Ly6e,ENSMUSG00000022587
Tcm_only,Sidt1,ENSMUSG00000022696
Tcm_only,Rfc4,ENSMUSG00000022881
Tcm_only,Krt18,ENSMUSG00000023043
Tcm_only,Prmt5,ENSMUSG00000023110
Tcm_only,Eif2ak2,ENSMUSG00000024079
Tcm_only,Tmem8,ENSMUSG00000024180
Tcm_only,Tapbp,ENSMUSG00000024308
Tcm_only,Nelfe,ENSMUSG00000024369
Tcm_only,Tnf,ENSMUSG00000024401
Tcm_only,Osbp,ENSMUSG00000024687
Tcm_only,Naa40,ENSMUSG00000024764
Tcm_only,Baiap2,ENSMUSG00000025372
Tcm_only,Paox,ENSMUSG00000025464
Tcm_only,Ifitm1,ENSMUSG00000025491
